Num,x1,x2,x3,x4,x5,x1Name,x2Name,x3Name,x4Name,x5Name,account,subArea,Population(K),GNI(M$),y1,y2,y3,z1,z2,z3
85,jp,1,4362,,,日本,北海道,雨竜町,,,,,2044,
86,jp,1,4371,,,日本,北海道,北竜町,,,,,1593,
87,jp,1,4389,,,日本,北海道,沼田町,,,,,2798,
88,jp,1,4524,,,日本,北海道,鷹栖町,,,,,6463,
89,jp,1,4532,,,日本,北海道,東神楽町,,,,,9775,
90,jp,1,4541,,,日本,北海道,当麻町,,,,,6054,
91,jp,1,4559,,,日本,北海道,比布町,,,,,3425,
92,jp,1,4567,,,日本,北海道,愛別町,,,,,2418,
93,jp,1,4575,,,日本,北海道,上川町,,,,,3085,
94,jp,1,4583,,,日本,北海道,東川町,,,,,8673,
95,jp,1,4591,,,日本,北海道,美瑛町,,,,,9283,
96,jp,1,4605,,,日本,北海道,上富良野町,,,,,9706,
97,jp,1,4613,,,日本,北海道,中富良野町,,,,,4486,
98,jp,1,4621,,,日本,北海道,南富良野町,,,,,2236,
99,jp,1,4630,,,日本,北海道,占冠村,,,,,1590,
100,jp,1,4648,,,日本,北海道,和寒町,,,,,2807,
101,jp,1,4656,,,日本,北海道,剣淵町,,,,,2728,
102,jp,1,4681,,,日本,北海道,下川町,,,,,2836,
103,jp,1,4699,,,日本,北海道,美深町,,,,,3681,
104,jp,1,4702,,,日本,北海道,音威子府村,,,,,601,
105,jp,1,4711,,,日本,北海道,中川町,,,,,1269,
106,jp,1,4729,,,日本,北海道,幌加内町,,,,,1222,
107,jp,1,4818,,,日本,北海道,増毛町,,,,,3620,
108,jp,1,4826,,,日本,北海道,小平町,,,,,2664,
109,jp,1,4834,,,日本,北海道,苫前町,,,,,2666,
110,jp,1,4842,,,日本,北海道,羽幌町,,,,,5945,
111,jp,1,4851,,,日本,北海道,初山別村,,,,,1005,
112,jp,1,4869,,,日本,北海道,遠別町,,,,,2258,
113,jp,1,4877,,,日本,北海道,天塩町,,,,,2642,
114,jp,1,5113,,,日本,北海道,猿払村,,,,,2589,
115,jp,1,5121,,,日本,北海道,浜頓別町,,,,,3221,
116,jp,1,5130,,,日本,北海道,中頓別町,,,,,1472,
117,jp,1,5148,,,日本,北海道,枝幸町,,,,,7199,
118,jp,1,5164,,,日本,北海道,豊富町,,,,,3515,
119,jp,1,5172,,,日本,北海道,礼文町,,,,,2183,
120,jp,1,5181,,,日本,北海道,利尻町,,,,,1830,
121,jp,1,5199,,,日本,北海道,利尻富士町,,,,,2151,
122,jp,1,5202,,,日本,北海道,幌延町,,,,,2042,
123,jp,1,5431,,,日本,北海道,美幌町,,,,,17329,
124,jp,1,5440,,,日本,北海道,津別町,,,,,3970,
125,jp,1,5458,,,日本,北海道,斜里町,,,,,10513,
126,jp,1,5466,,,日本,北海道,清里町,,,,,3622,
127,jp,1,5474,,,日本,北海道,小清水町,,,,,4342,
128,jp,1,5491,,,日本,北海道,訓子府町,,,,,4448,
129,jp,1,5504,,,日本,北海道,置戸町,,,,,2543,
130,jp,1,5521,,,日本,北海道,佐呂間町,,,,,4646,
131,jp,1,5555,,,日本,北海道,遠軽町,,,,,17646,
132,jp,1,5598,,,日本,北海道,湧別町,,,,,7901,
133,jp,1,5601,,,日本,北海道,滝上町,,,,,2208,
134,jp,1,5610,,,日本,北海道,興部町,,,,,3495,
135,jp,1,5628,,,日本,北海道,西興部村,,,,,956,
136,jp,1,5636,,,日本,北海道,雄武町,,,,,4033,
137,jp,1,5644,,,日本,北海道,大空町,,,,,6441,
138,jp,1,5717,,,日本,北海道,豊浦町,,,,,3491,
139,jp,1,5750,,,日本,北海道,壮瞥町,,,,,2313,
140,jp,1,5784,,,日本,北海道,白老町,,,,,15095,
141,jp,1,5814,,,日本,北海道,厚真町,,,,,4227,
142,jp,1,5849,,,日本,北海道,洞爺湖町,,,,,7906,
143,jp,1,5857,,,日本,北海道,安平町,,,,,7214,
144,jp,1,5865,,,日本,北海道,むかわ町,,,,,7221,
145,jp,1,6012,,,日本,北海道,日高町,,,,,10904,
146,jp,1,6021,,,日本,北海道,平取町,,,,,4435,
147,jp,1,6047,,,日本,北海道,新冠町,,,,,5011,
148,jp,1,6071,,,日本,北海道,浦河町,,,,,11231,
149,jp,1,6080,,,日本,北海道,様似町,,,,,3777,
150,jp,1,6098,,,日本,北海道,えりも町,,,,,4060,
